2026-05-08 00:16:51 | INFO | app.camera.manager | Motion snapshot saved
2026-05-08 00:16:52 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:52 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:52 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:52 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:52 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:52 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:52 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:52 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:53 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:53 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:53 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:53 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:53 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:53 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:54 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:54 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:54 | INFO | app.camera.manager | Motion snapshot saved
2026-05-08 00:16:54 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:55 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:55 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:55 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:55 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:55 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:55 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:55 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:55 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:56 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:56 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:56 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:56 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:56 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:57 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:58 | INFO | app.events.event_engine | Perception event emitted
